orig_premise,orig_hypothesis,gold_label,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,orig_contrast_probs,pred_edit_premise_probs,pred_edit_hypo_probs,diff_premise_probs,diff_hypothesis_probs
Several adults look on while a young girl plays in a ball pit.,A young girl is sitting in her chair.,neutral,Several adults look on while a young girl plays.,A young girl is playing.,0,2,1,0.2857142857142857,0.4444444444444444,37.55510711669922,38.12978744506836,0.0002443624543957412,0.8148712515830994,0.975649356842041,0.8133028383599594,0.9754049943876453
"A blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background.",Nobody has a tattoo,neutral,A blond woman is walking down the street with a concrete wall in the background.,A woman has a tattoo.,0,0,1,0.44,0.75,34.77555465698242,41.40861892700195,0.9994482398033142,0.9901992678642273,0.9926475286483765,-0.009248971939086914,0.9926200705212977
A four piece band plays a song on a medium-size stage.,A three piece band plays a song on a medium-size stage.,neutral,A three piece band plays a song.,A four piece band plays different instruments on a medium-size stage.,0,2,0,0.5,0.21428571428571427,21.002168655395508,26.239961624145508,0.9979914426803589,0.9985013008117676,0.452431321144104,0.996880586608313,-0.5455601215362549
An elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,A woman is in a green nun uniform,neutral,An elderly woman with a nun uniform on and glasses is taking a picture with her camera.,A woman is capturing a moment using technology.,0,2,1,0.05263157894736842,0.625,100.49580383300781,69.92509460449219,0.0007892278954386711,0.9987358450889587,0.9535262584686279,0.992155215702951,0.9527370305731893
"A juggler wearing a plaid kilt and a green shirt, juggling.",A person rides a bike down a hill wearing pants.,neutral,A cyclist wearing plaid pants and a green shirt is biking.,A scottish person is juggling.,0,2,2,0.38461538461538464,0.8181818181818182,82.5401840209961,68.04385375976562,0.9998658895492554,0.9600898027420044,0.9793917536735535,0.9599742735445034,0.9792762244760524
A red dog jumps and catches a tennis ball in its mouth.,a man eating popcorn,neutral,A man jumps and catches something in his mouth.,Someone threw a tennis ball to a dog.,0,0,1,0.46153846153846156,2.0,33.45283889770508,137.9086456298828,5.4063125389802735e-06,0.9883566498756409,0.47600194811820984,-0.011578261852264404,0.47599654180567086
A woman cook in an apron is smiling at the camera with two other cooks in the background.,A woman not paying attention to the camera,neutral,A woman cook in an apron is smiling with two other cooks in the background.,A woman is paying attention to the camera,0,0,1,0.15789473684210525,0.125,38.06205368041992,58.370723724365234,0.9981853365898132,0.989098072052002,0.7513321042060852,-0.00908726453781128,0.7508793222950771
"Two men holding a Chinese lantern that's yellow and red, one man has a drill and the other is smiling.",A man and his daughter build a doghouse while the dog sits behind them.,neutral,"A father and daughter are building a doghouse that's yellow and red, and the father has a drill and the dog is watching them.",A man and his friend hold a Chinese decoration.,0,1,1,0.6086956521739131,0.6,54.12909698486328,27.482646942138672,1.9389517547097057e-06,0.8277601003646851,0.4973374009132385,0.8277581614129303,0.4973354619614838
A man with a beard is playing an acoustic guitar on the street.,A woman flashes bystanders.,neutral,A woman passes by the street.,A musician plays guitar.,0,0,1,0.7142857142857143,0.6,28.975814819335938,130.9564208984375,1.1004423868143931e-05,0.712277352809906,0.9743936061859131,-0.2875569462776184,0.9743826017620449
Two men in hard hats and safety neon vests on scaffolding working outside in the daylight.,A school class visits the museum of modern art.,neutral,Two men in hard hats and safety neon vests on scaffolding working outside in the daylight and watching the school bus park near the Museum of Modern Art.,Men work on an elevated platform.,0,2,1,0.7058823529411765,0.9,118.67737579345703,78.70591735839844,7.569749868707731e-05,0.5689706206321716,0.897598385810852,0.5688949231334846,0.8975924828182542
A blond man playing a guitar.,A bald man is playing a guitar.,neutral,A man with a hat is playing a guitar.,A blond man plays some music.,0,2,1,0.7142857142857143,0.625,49.4880256652832,25.160390853881836,0.998100221157074,0.9022384285926819,0.7364082932472229,0.9005404993658885,0.736206351662986
Two dancers in pink tops and striped capri bottoms perform on stage barefoot.,Two magicians are performing on stage.,neutral,Two performers in pink tops and striped capri bottoms perform on stage barefoot.,Two ballerinas are dancing on the stage barefoot.,0,2,2,0.07142857142857142,0.5714285714285714,46.14867401123047,90.3128433227539,0.9991952776908875,0.9978626370429993,0.7489863634109497,0.9970958561170846,0.7482195824850351
Expert snowboard is trying a new trick.,The person is surfing on the water.,neutral,The expert athlete is trying a new trick.,The person is jumping on the snow.,0,0,2,0.375,0.25,70.83525848388672,53.670658111572266,0.9999401569366455,0.999376118183136,0.9816374182701111,-0.0005640387535095215,0.9815854092594236
A city street corner with two passing bicyclists and several pedestrians.,The people are indoors.,neutral,A city street corner with the crosswalk signal about to change.,The people are outdoors.,0,0,1,0.5,0.2,92.99942016601562,116.89814758300781,0.00017391883011441678,0.9988823533058167,0.9904312491416931,0.0006350874900817871,0.9902573303115787
A black and white picture of a city street with a food vendor in the foreground.,The colors has disappeared form the world.,entailment,A picture of a city street with a food vendor in the foreground but no colors.,The picture has a food vendor.,0,1,1,0.35294117647058826,0.625,28.765640258789062,84.65355682373047,0.06080184504389763,0.9510827660560608,0.973543107509613,0.8902809210121632,0.9127412624657154
A brown dog is in the middle of a line of dogs chasing a dirty tennis ball over dirt.,The tennis ball is clean.,neutral,A brown dog is in the middle of a line of dogs chasing a tennis ball over dirt.,The tennis ball is green.,0,0,2,0.05,0.16666666666666666,40.0245475769043,36.23161697387695,0.00019972666632384062,0.5322015881538391,0.9852922558784485,-0.46455228328704834,0.9822458915878087
An accident involving a green Sudan and a gray van.,Two cars waited patiently for the light to turn green.,neutral,A green Sudan and a gray van in traffic.,Two cars involved in an accident.,0,2,1,0.5454545454545454,0.7272727272727273,112.93682861328125,92.09002685546875,0.00043627998093143106,0.9272986650466919,0.840525209903717,0.8931463658809662,0.8400889299227856
"3 cyclists are racing ahead of a red BMW, with the leader wearing solid white helmet and black cycling pants",Three people are riding horses across a course.,neutral,3 riders are on horses.,Three short people are racing ahead a BMW.,0,2,2,0.9047619047619048,0.5555555555555556,197.150146484375,112.66557312011719,9.496856364421546e-06,0.9909756779670715,0.9979616403579712,0.9908618670451688,0.9978478294360684
A snowboarder with a maroon coat sails through the air.,The snowboarder is naked.,neutral,A snowboarder with a maroon coat in his hand sails through the air.,The snowboarder is obese.,0,0,2,0.2727272727272727,0.2,39.07988739013672,32.821563720703125,0.00043037586146965623,0.9993243217468262,0.954213559627533,-0.00020182132720947266,0.9537831837660633
A team of surgeons operate on a female patient.,The surgeons are operating on a male patient.,neutral,A team of surgeons operate on a patient.,The surgeons are operating on a female.,0,2,1,0.1,0.2222222222222222,29.026552200317383,27.219181060791016,0.0007883899961598217,0.9992399215698242,0.9898983836174011,0.9984515315736644,0.9898107935441658
An elderly Man wearing a olive green shirt and red and white striped apron is stacking cheese.,A women is eating some friend dumpling dumplings,neutral,An elderly Man wearing a olive green shirt and red and white striped apron is stacking cheese in the restaurant while a woman eats.,A person is preparing to cook cheese.,0,0,2,0.3888888888888889,0.75,94.14948272705078,87.02986907958984,0.00038728187792003155,0.9334325194358826,0.5331853032112122,-0.06616151332855225,0.5327980213332921
A lady in a red shirt and bikini bottoms is about to go surfing on a blue board in the ocean.,A woman is surfing in her pool.,neutral,A lady in a red shirt and bikini bottoms is about to practice surfing on a blue board.,A woman will be surfing in the ocean.,0,2,1,0.18181818181818182,0.5,31.6234130859375,46.34827423095703,0.0025783199816942215,0.838071346282959,0.9497408866882324,0.8354930263012648,0.9495838254952105
A boy is riding down the road between two cows.,A single cow is alone.,neutral,A tall boy is riding down the road next to a cow and distant animals.,A two cows are on the road.,0,0,1,0.7272727272727273,1.0,42.89762496948242,70.92938995361328,0.0002691763511393219,0.9994514584541321,0.9523575305938721,-5.418062210083008e-05,0.9521323302178644
"two male's in a karate class, one who is in the air with a blue and orange belt and one who is about to get kicked in the face.",two people do jump kicks,neutral,"two male's in a class, one who is in the air with a blue and orange belt and one who is about to get kicked in the face.",two people do martial arts,1,1,1,0.03125,0.4,38.02686309814453,50.2681999206543,0.05443120002746582,0.713304877281189,0.9907564520835876,-0.02061152458190918,0.2568400502204895
A man walks by a building at night.,A man is sitting in the sun.,neutral,A man sitting by a building during the day.,A man is walking on the street.,0,1,1,0.4444444444444444,0.375,27.96139144897461,32.277732849121094,0.0003498891310300678,0.925260603427887,0.8363115787506104,0.9251548337051645,0.8362058090278879
A woman runs on the beach.,The old lady spends a good time relaxing on the lounge.,neutral,A woman suns herself on the beach.,A woman runs near water.,0,0,1,0.2857142857142857,0.9166666666666666,50.707149505615234,55.505226135253906,0.0002214398409705609,0.8956893086433411,0.9052061438560486,-0.10407030582427979,0.9051871878255042
A man standing on a street with a suitcase in front of him while another man bends down to look at what is displayed on top of it.,Two men lie on tables in the morgue.,neutral,A young man in a morgue with a suitcase in front of him while another man tries to look at what is displayed on top of it.,A white man is standing on the street.,0,0,2,0.20689655172413793,0.7777777777777778,18.631439208984375,26.76997184753418,2.22761864279164e-05,0.999416708946228,0.9987192153930664,-0.0005583763122558594,0.9986969392066385
A baby sitting in a highchair looking delighted.,The baby is crying.,neutral,A baby sitting in a highchair.,The baby is hungry.,0,2,2,0.2222222222222222,0.2,61.580989837646484,31.06023406982422,0.0006487718201242387,0.9684929251670837,0.9595624208450317,0.9678441533469595,0.9589136490249075
A person is posed with one leg raised and one arm out at a competition with their teammates in the background.,A man posed with both arms out at a competition.,neutral,A person is posed with some limbs out and raised with their teammates in the background.,A man posed at a competition.,0,2,2,0.4090909090909091,0.36363636363636365,60.0531005859375,71.82498168945312,0.018743164837360382,0.9549064636230469,0.5878278017044067,0.9361632987856865,0.5690846368670464
A man hammering nails on a shed.,The shed is made of t-shirts.,neutral,A man hammering something on a shed.,The shed is in need of repair.,0,0,1,0.125,0.5555555555555556,42.108028411865234,63.46710205078125,0.2676701247692108,0.5290954113006592,0.9461994767189026,-0.20236259698867798,0.9453276200802065
kids are looking at something on a table.,Some kids are burning the table down.,neutral,kids are using matches on something on a table.,There is a bowl of fresh cookies on the table.,0,0,2,0.3333333333333333,1.125,50.50074005126953,154.88983154296875,0.0012502805329859257,0.6769309043884277,0.9886578917503357,-0.32178235054016113,0.9874076112173498
A man wearing a black hat and coat makes a face with a crowd behind him.,A man is taking a shower.,neutral,A man wearing a black hat and coat makes a face in the bathroom.,A man is in front of a crowd.,0,0,1,0.29411764705882354,0.5714285714285714,22.749794006347656,24.249956130981445,6.446968473028392e-05,0.9819392561912537,0.9921119213104248,-0.017991602420806885,0.9921073151676865
A couple is eating outside at a table and he is pointing at something.,A couple is eating inside at a table and he is pointing at something.,entailment,Two people are eating outside at a table and he is pointing at something.,The couple  eating outside pointed as someone,0,0,2,0.2,0.8666666666666667,174.32029724121094,22.551021575927734,0.0016571581363677979,0.9697092175483704,0.531447172164917,-0.02705228328704834,0.5297900140285492
A young boy wearing an orange uniform stands on the field near a colorful ball.,A girl is wearing a sweater.,neutral,A young girl  stands on the field near a colorful ball.,A boy is wearing a uniform.,0,2,1,0.3125,0.2857142857142857,40.37691116333008,105.0366439819336,0.000375380739569664,0.9766630530357361,0.9840881824493408,0.9762876722961664,0.9840561016571883
The blue kayak is being ridden over a small waterfall.,A guy is working out in the gym.,neutral,The blue guy is in the gym over a small waterfall. ,Someone is kayaking.,0,2,1,0.36363636363636365,0.7777777777777778,90.73902130126953,83.16387939453125,9.226593829225749e-05,0.7909884452819824,0.9845106601715088,0.7908961793436902,0.9845007986668861
One female and two male musicians holding musical equipment.,There four females,entailment,Four women are holding musical equipment.,There is one female holding a trumpet.,0,1,2,0.6,2.3333333333333335,102.6345443725586,1799.30419921875,0.0033318493515253067,0.9946598410606384,0.9943106174468994,0.9849192481487989,0.9909787680953741
"One man, shirtless, and a woman, clothed, jumping in the water.","Two people are in a helicopter, high above the Sahara desert.",neutral,"One man, shirtless, and a woman, clothed, rescued from the Sahara desert ",A man and woman jumped into the water and one had all their clothes on and the other one has some on.,0,0,1,0.25,1.6153846153846154,24.159330368041992,73.22442626953125,4.2221425246680155e-05,0.9235032200813293,0.5447266697883606,-0.07645243406295776,0.5447245085886152
"Two formally dressed, bald older women",Two long-haired young women.,neutral,"Two formally dressed, long-haired women",Two bald women.,0,2,1,0.42857142857142855,0.5714285714285714,894.1722412109375,215.2312774658203,0.0016088035190477967,0.9765508770942688,0.9809503555297852,0.974942073575221,0.980599179136334
A younger couple is walking across a crosswalk outside with a very busy bus stop behind them.,There are people inside of a store.,neutral,A younger couple is walking across a crosswalk outside with a very busy bus stop and store behind them.,There are thousands at the bus stop.,0,0,2,0.1111111111111111,0.625,41.358802795410156,57.31232833862305,0.000976125302258879,0.9966471791267395,0.9807785749435425,-0.0006636977195739746,0.9790655131218955
A man touching a hanging strand of lamps.,A man has his hands shoved into his coat pockets.,neutral,A man touching a hanging strand of a lamp that he'd kept within one of his pockets.,A man has a hand extended.,0,0,1,1.2222222222222223,0.6363636363636364,268.6582336425781,66.45813751220703,0.0003049734514206648,0.9908211827278137,0.9014215469360352,-0.00886756181716919,0.901415176604587
A mountaineer about to descend down a mountain with a blue helmet on.,A man is drinking hot cocoa inside a lodge.,neutral,"A mountaineer about to descend down a mountain with a blue helmet on, he is meeting his brother at the lodge.",A man is wearing a helmet.,0,0,1,0.6428571428571429,0.5,37.113059997558594,42.42719650268555,4.554357656161301e-05,0.9633477926254272,0.5354267954826355,-0.03660309314727783,0.5354231964649898
A dog standing near snow looking at water.,A cat is laying on the couch.,neutral,A large cat lying near snow looking at water.,A white dog is standing on the near snow.,0,0,2,0.3333333333333333,0.625,91.1045913696289,114.48755645751953,0.00015596039884258062,0.9969691634178162,0.9650971293449402,-0.002865612506866455,0.9649411689460976
"Children at daycare playing on rings, and poles, one parent standing and holding her child and one teacher is sitting on the bench watching the others play.",Children are body slamming each other.,neutral,"Children at daycare playing on rings and poles make contact, while one parent is standing and one teacher is sitting on the bench watching the others play.",Children are playing on blue rings.,0,0,2,0.3,0.5714285714285714,86.03809356689453,84.79427337646484,0.03815891966223717,0.7751209139823914,0.9993632435798645,-0.18639224767684937,0.9612043239176273
A man sits outdoors with some of his belongings.,A man is inside.,neutral,A man sits with some of his belongings.,A man is outdoors with some of his things.,0,2,1,0.1,1.2,21.947052001953125,45.65882873535156,0.0018364123534411192,0.6540302038192749,0.9812864661216736,0.6521937914658338,0.9800501868594438
The dog is in the snow in front of some trees.,A cat plays in the snow.,neutral,The family pet is in the snow in front of some trees.,A dog is in the snow.,0,0,1,0.16666666666666666,0.2857142857142857,24.635784149169922,42.31370544433594,0.0002902011328842491,0.8960250616073608,0.9924300312995911,-0.10366523265838623,0.9924104482797702
A motorist gets some air over a rough hill.,A motorist has stalled.,neutral,"A motorist gets some air over a rough hill, but dislodges his engine because he landed too hard.",A motorist has stalled before.,0,0,2,1.0,0.2,106.00183868408203,69.06376647949219,0.0027881059795618057,0.49673062562942505,0.8377916216850281,-0.5002375841140747,0.8350035157054663
two people riding their bikes down a street together.,A couple gets married at the courthouse.,neutral,two people riding their bikes down a street together to the courthouse.,A person rides their bike.,0,0,1,0.3,0.75,47.940162658691406,45.92348098754883,0.9998562335968018,0.9531717300415039,0.9429642558097839,-0.04668450355529785,0.9429600526491413
The white dog is pulling a large stick.,The dog is taking a nap at the park.,neutral,The white dog is dreaming about pulling a large stick.,The dog is pulling a toy stick.,0,0,2,0.2222222222222222,0.5,38.64288330078125,48.556800842285156,0.00012651292490772903,0.9707645773887634,0.8801137804985046,-0.029103219509124756,0.8799872675735969
A hand holds a strainer with a small amount of liquid in it with a table with bins in the background.,A city of ice sits in the distance.,neutral,A hand holds a strainer with a small amount of liquid in it with a table with bins in the background and a city can be seen in the distance.,A city of ice sits in the distance from the table,0,0,0,0.4090909090909091,0.3333333333333333,48.621490478515625,35.98847579956055,0.007211022544652224,0.7773688435554504,0.9964780211448669,-0.21466141939163208,0.004447758197784424
A jubilant crowd dressed fabulously in purple red and yellow-gold move in step on a metropolitan street.,One person walking on the street.,entailment,A person dressed fabulously in purple red and yellow-gold walks on a metropolitan street.,One person walking.,0,1,0,0.25,0.42857142857142855,220.05259704589844,107.79410552978516,0.0006277056527324021,0.944481611251831,0.998188316822052,0.9438460568198934,-0.0005484819412231445
A group of people is sitting at a large table and using paint brushes to form characters on white paper.,The people are using their fingers to paint with.,neutral,A group of people are sitting at a large table and using body parts to form characters on white paper.,The people are using their brushes to paint with.,1,0,1,0.14285714285714285,0.1,34.648616790771484,40.0190315246582,0.039836056530475616,0.9515650272369385,0.8740696310997009,0.8222952485084534,0.043175458908081055
A man and a child are purchasing ice cream from a man with a hand pushed ice cream cart.,A couple is eating in a restaurant.,neutral,A man and a woman are purchasing food from a man in a restaurant.,A man is buying ice cream.,0,0,1,0.45,0.625,43.06748580932617,25.395692825317383,0.0027736853808164597,0.5536817312240601,0.9804205894470215,-0.4432922601699829,0.9801683282421436
An adorable child leaping to block a soccer ball from entering the goal.,A child blocks a goal with his hockey stick.,neutral,An adorable child leaping to block a puck from entering the goal.,A child blocks with his head.,0,1,0,0.14285714285714285,0.4,106.17191314697266,88.77088165283203,0.003121001413092017,0.7632321715354919,0.6581211686134338,0.763014776923228,-0.33854037523269653
A man interviews a boy in a gathering of people.,A man slaps a little boy in front of a gather of people.,neutral,A man punishes a boy in front of a gathering of people.,A man talks with a boy in front of a gather of people.,0,2,1,0.2727272727272727,0.21428571428571427,24.392009735107422,15.011456489562988,0.00027428724570199847,0.9605238437652588,0.9877308011054993,0.9602495565195568,0.987716546491356
A rugby player swings his leg back to punt the ball.,There is a person sitting on the bed.,neutral,A player swings his long leg back to punt the ball on his bed.,The rugby player is about to punt the ball.,0,1,1,0.4166666666666667,0.8888888888888888,34.425872802734375,59.152400970458984,0.00023587257601320744,0.5976069569587708,0.9624727368354797,0.5975737054104684,0.9624394852871774
A basketball player in a red uniform is trying to make a basket but is being blocked by the opposing team.,The basketball player is stretching on the sidelines.,neutral,A player in a red uniform is stretching on the sidelines before entering the game.,The basketball player is being blocked.,0,2,1,0.5909090909090909,0.4444444444444444,26.79302978515625,39.31690979003906,0.00021703512175008655,0.8761888742446899,0.9889506697654724,0.8759718391229399,0.988941813538986
A photo of a woman in a black coat standing in front of a large two-paneled photo depicting a woman in a gray dress looking down with her hand in a bag.,The photo was of two men.,neutral,A photo of a scientist in a black coat standing in front of a large two-paneled photo depicting a person in a gray suit looking down with their hand in a bag.,The photo was of women.,0,0,1,0.11428571428571428,0.2857142857142857,25.167327880859375,33.453453063964844,0.0006771096959710121,0.9763430953025818,0.6008803248405457,-0.022878825664520264,0.6007792775344569
A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.,neutral,A young family enjoys feeling ocean waves lap at their feet as they dine.,A family has their feet near water.,0,2,1,0.25,0.625,168.2705535888672,85.68598937988281,0.00019603644614107907,0.765510082244873,0.9771710634231567,0.7555390940979123,0.9769750269770157
A policeman on a motorcycle from the rear.,An officer on a chopper.,neutral,A person on a chopper from the rear.,Law enforcement on a vehicle.,1,2,1,0.2222222222222222,0.5,86.4683837890625,45.135982513427734,0.01927088014781475,0.9836402535438538,0.9857894778251648,0.964369373396039,0.005630970001220703
A worker is preparing fish to be sold at a market.,A person is on a boat fishing.,neutral,A worker is preparing fish while aboard a boat to be sold at a market.,A worker is preparing salmon to be sold at a market.,0,1,2,0.3333333333333333,1.125,10.204161643981934,48.70961380004883,0.002770356833934784,0.5659041404724121,0.9987401366233826,0.5654710527160205,0.9959697797894478
A young boy with a shaved head and dirty white collared shirt holds a chicken in his arm.,The young boy went swimming.,neutral,A young person with a shaved head and dirty white collared shirt holds a chicken in his arm went swimming.,The young boy's shirt is not clean.,0,1,1,0.15789473684210525,0.8333333333333334,27.825284957885742,56.84019088745117,0.006333160679787397,0.938141942024231,0.9819878935813904,0.9318087813444436,0.975654732901603
2 people with backpacks are at a table with a woman with a beige blazer sitting behind it.,10 people are kissing,neutral,A married couple with backpacks are at a table with multiple couples kissing behind it.,A couple is at a table.,0,2,2,0.5263157894736842,1.75,42.4951057434082,117.13008880615234,0.00020183993910904974,0.6456480622291565,0.5034933090209961,0.6454462222900474,0.503291469081887
A group of adults standing up with children in sports attire kneeling on the ground.,A woman drinks moonshine.,neutral,Woman is standing up. ,There were children on their knees.,0,0,1,0.8125,1.2,71.99224090576172,307.5570373535156,7.003328209975734e-05,0.9958409667015076,0.9724404811859131,-0.004087388515472412,0.9724389261176611
A young girl is standing in a kitchen holding a green bib.,A boy is playing with a firetruck.,neutral,A young boy is standing in a kitchen playing.,A girl in in the kitchen.,0,2,1,0.38461538461538464,0.75,45.531349182128906,31.733030319213867,4.08939849876333e-05,0.9956165552139282,0.9829633235931396,0.9955756612289406,0.9829582702445805
Two little boys are smiling and laughing while one is standing and one is in a bouncy seat.,The little boys are crying.,neutral,Two little kids are sad and crying while one is standing and one is in a bouncy seat.,The little caucasian boys are laughing.,0,2,2,0.15789473684210525,0.3333333333333333,34.48065948486328,38.52793884277344,0.0004640592378564179,0.7690203189849854,0.9985052347183228,0.7685562597471289,0.9980411754804663
Man in leather jacket and scarf sits on purple cushion at a party.,A person is sleeping on the couch.,neutral,Man in leather jacket and scarf lays on purple couch at a party.,A man sits on a cushion.,0,2,1,0.14285714285714285,0.625,51.77315139770508,53.41503143310547,0.0010133108589798212,0.8470112681388855,0.9928222298622131,0.8459979572799057,0.992764678572712
A young couple sitting in a black chair smiling.,Two young people are angry.,neutral,A young couple sitting in a black chair having a discussion.,Somebody might get angry soon.,0,2,2,0.3,0.8333333333333334,128.03204345703125,66.02046203613281,0.00017852963355835527,0.7266156673431396,0.9913588762283325,0.7264371377095813,0.9911803465947742
A woman wearing a striped wrap is bent over in a cornfield while looking at the camera.,A man wearing a bathing suit is bent over in a cornfield while looking at the camera.,neutral,A man wearing a suit is bent over in a cornfield while looking at the camera.,There is a woman in the cornfield.,0,0,1,0.16666666666666666,0.7777777777777778,24.697612762451172,8.564054489135742,0.0002890790638048202,0.9615562558174133,0.9966577291488647,-0.03813678026199341,0.9966399040677061
A smiling man and a baby girl posing for photo.,A girl poses for a selfie with her mother.,neutral,A smiling woman and a baby girl posing for photo.,A girl poses for a selfie with her father.,0,2,2,0.09090909090909091,0.1,29.63475799560547,30.93838882446289,0.020796891301870346,0.9865999817848206,0.9828200340270996,0.9658030904829502,0.9620231427252293
A bicyclist wearing white sunglasses and a white and black helmet.,Nobody has sunglasses,neutral,A bicyclist wearing a white and black helmet.,The bicyclist is wearing white sunglasses to stand out of the rest.,0,0,2,0.25,4.0,39.829986572265625,162.78085327148438,0.0003521484904922545,0.9885408282279968,0.9920617341995239,-0.011086761951446533,0.9917095857090317
A man in a dark long rainproof jacket but dry hair walks to the left in a city that has recently rained.,the man is sitted in the bar,neutral,"A man in a dark long rainproof jacket but dry hair walks to the left in a city that has recently rained, and he enters a rough business and takes a seat.",A man thinks about finding a place to get dry.,0,0,2,0.4782608695652174,1.4285714285714286,84.66461944580078,107.08737182617188,0.00014338511391542852,0.9946601986885071,0.9968434572219849,-0.005183517932891846,0.9967000721080694
A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.,The woman is wearing a full sleeved jacket.,neutral,A woman with a denim jacket is holding her hand up above a black and white dog that is jumping.,The woman is wearing something without full sleeves.,0,0,1,0.17391304347826086,0.4444444444444444,55.6019401550293,42.318756103515625,0.007747727446258068,0.7816903591156006,0.9730032086372375,-0.20777565240859985,0.9702169962693006
A large group of people walking in a busy city at night.,People are outside in a park.,neutral,A large group of people walking in a busy city at night are outside. ,People are outside in the city.,0,0,1,0.15384615384615385,0.2857142857142857,39.89970397949219,78.58501434326172,0.013564671389758587,0.9873468279838562,0.9734700918197632,0.0015038251876831055,0.9728777362033725
Two children play in the snow by the side of the road.,Toddles are roasting marshmallows.,neutral,Two children are by the camp fire.,Children are playing in the snow.,0,2,1,0.6153846153846154,1.0,13.1439847946167,102.0841293334961,0.0005816731136292219,0.951679527759552,0.9870736598968506,0.9510978546459228,0.9870657647634289
"A man sitting on a statue outdoors, near a woman standing next to him.",children playing baseball at the park,neutral,"A man sitting, with children playing next to him.","One person sits, while the other person stands.",0,0,1,0.5,1.5,42.06332015991211,87.26952362060547,6.3700081227580085e-06,0.9448213577270508,0.9694925546646118,-0.054983437061309814,0.9694861846564891
An asian teenager wearing a white shirt with black stripes is sitting on the steps with his face resting on his hand.,The teenager is sliding down the railing.,neutral,An Asian teenager is hanging out with his friends and coming down. ,The teenager is tired.,0,2,2,0.7391304347826086,0.5,35.66938781738281,107.01254272460938,0.00010397592268418521,0.5127501487731934,0.8561839461326599,0.5126461728505092,0.8560799702099757
A man of the cloth puts a black substance on a man's forehead.,The women are at the park.,neutral,A man of the cloth puts a black substance on a man's forehead while his wife and her girlfriends are outside.,A priest is anointing a follower.,0,2,2,0.5333333333333333,0.8571428571428571,52.525997161865234,44.49699020385742,0.0005279483739286661,0.6393863558769226,0.986232340335846,0.6388584075029939,0.9857043919619173
a woman wearing a pink tank top holding a mug of liquid,A woman in a blue tank top holding a car.,neutral,a woman wearing a pink tank top holding something.,A woman holding a mug of coffee.,0,0,2,0.3333333333333333,0.6363636363636364,41.729679107666016,26.536283493041992,0.0006106245564296842,0.9962970614433289,0.9951092600822449,-0.0030135512351989746,0.9944986355258152
"Two black guys, that are on rival teams playing basketball.",Two women playing basketball.,neutral,"Two black women, that are on rival teams playing outside.",Two women may be playing basketball with two men.,0,2,2,0.16666666666666666,1.0,57.987022399902344,144.36672973632812,0.0017677630530670285,0.9660187363624573,0.9390377998352051,0.9642509733093902,0.937270036782138
A woman is holding a large check for Kids Food Basket.,She is stealing from them.,neutral,A woman is holding a large check that belongs to Kids Food Basket.,She is donating her own money to them.,0,0,2,0.25,0.8333333333333334,65.73943328857422,76.77909088134766,0.010834352113306522,0.971507728099823,0.994929313659668,-0.017547190189361572,0.9840949615463614
Swimming in the wide blue ocean.,The ocean swims in the blue wideness.,entailment,Ocean swimming in the wide.,The blue ocean is empty and wide.,1,2,0,0.5714285714285714,0.75,60.59299850463867,177.36273193359375,0.21795538067817688,0.7052347660064697,0.5809799432754517,0.48727938532829285,0.5305684208869934
Two men and one woman with blond-hair walk through a gate with barbed wire on top.,Two dogs are walking throught a gate.,neutral,Two pets and one woman with blond-hair walk through a gate with barbed wire on top.,Two blonde men are walking through a gate.,0,1,0,0.05263157894736842,0.375,47.04027557373047,91.44965362548828,0.006567595060914755,0.9740359783172607,0.9349932670593262,0.9700547312386334,-0.05445796251296997
Man and a child at an exhibit booth looking at something.,A woman and her dog are eating breakfast.,neutral,A woman is eating pierogis with her dog at an exhibit booth.,A man and a child are both looking at something,0,2,1,0.9166666666666666,0.7777777777777778,39.33806228637695,61.942195892333984,8.651323150843382e-05,0.8498729467391968,0.9592937231063843,0.8497864335076883,0.9592848824668181
A group of swimmers jump into a pool.,A group of swimmers are sitting on an airplane on the way to their swimming competition.,neutral,A group of swimmers on their way to a swimming competition.,A group of young swimmers will jump into the pool to enjoy summer.,0,0,2,0.6666666666666666,0.6470588235294118,31.03444480895996,15.308575630187988,3.9949616621015593e-05,0.999848484992981,0.9949610233306885,-0.00010967254638671875,0.9949210737140675
A few women and children are collecting items from rocks.,People are throwing rocks.,neutral,A few women and children are collecting items from rocks that are landing near them.,People are  collecting items from big rocks.,0,0,2,0.45454545454545453,1.0,136.80064392089844,71.66795349121094,0.10043956339359283,0.8346562385559082,0.9945420622825623,-0.05892974138259888,0.8941024988889694
A group of female athletes are huddled together and excited.,The group of athletes all can breathe underwater.,neutral,A group of female athletes are all underwater.,The group of athletes all can breathe.,0,1,1,0.36363636363636365,0.1111111111111111,59.97225570678711,60.932369232177734,0.0003362644638400525,0.9452343583106995,0.8815760016441345,0.9451976615164313,0.8815393048498663
