Unnamed: 0,orig_premise,orig_hypothesis,gen_premise,gen_hypothesis,pred_orig_labels,pred_gen_premise_labels,pred_gen_hypothesis_labels,distance_premise,distance_hypothesis,perplexity_gen_hypothesis,perplexity_gen_premise,grammar_premise_gen_gpt_0.2,grammar_hypothesis_gen_gpt_0.2,cohesiveness_premise_gen_gpt_0.2,cohesiveness_hypothesis_gen_gpt_0.2,likableness_premise_gen_gpt_0.2,likableness_hypothesis_gen_gpt_0.2,fluency_premise_gen_gpt_0.2,fluency_hypothesis_gen_gpt_0.2,grammar_premise_gen_gpt_1.0,grammar_hypothesis_gen_gpt_1.0,cohesiveness_premise_gen_gpt_1.0,cohesiveness_hypothesis_gen_gpt_1.0,likableness_premise_gen_gpt_1.0,likableness_hypothesis_gen_gpt_1.0,fluency_premise_gen_gpt_1.0,fluency_hypothesis_gen_gpt_1.0,grammar_premise_gen_mistral_0.2,grammar_hypothesis_gen_mistral_0.2,cohesiveness_premise_gen_mistral_0.2,cohesiveness_hypothesis_gen_mistral_0.2,likableness_premise_gen_mistral_0.2,likableness_hypothesis_gen_mistral_0.2,fluency_premise_gen_mistral_0.2,fluency_hypothesis_gen_mistral_0.2,grammar_premise_gen_mistral_1.0,grammar_hypothesis_gen_mistral_1.0,cohesiveness_premise_gen_mistral_1.0,cohesiveness_hypothesis_gen_mistral_1.0,likableness_premise_gen_mistral_1.0,likableness_hypothesis_gen_mistral_1.0,fluency_premise_gen_mistral_1.0,fluency_hypothesis_gen_mistral_1.0
214,a group of children in costumes are on a stage with red curtains.,a group of children are performing a play,a number of children in opener are on a macbeth with red hair.,[CLS] group of children are physically a costumes,2,1,1,0.2857142857142857,0.625,199.4737243652344,109.57862854003906,2,2,3,2,2,2,2,2,2,2,3,4,3,2,2,2,5,5,3,5,3,5,5,5,5,5,5,5,3,5,4,5
215,a red truck is parked next to a burning blue building while a man in a green vest runs toward it.,the burning blue building will turn to dust after an hour.,a red logo is parked next to a mickey blue building. a man in a yellow car runs through it.,[CLS] burning green building will turn to earth with an arrow.,2,0,0,0.2727272727272727,0.5833333333333334,78.530029296875,94.45201110839844,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1,2,1,3,1,3,1,1,1,3,1,2,1
216,a man in a blue jogging suit is running on the sidewalk in front of a painting.,the man is sweating from his run.,a man in a white lung warlord isiated on the floor in front of a puzzle.,[CLS] man is differentiated from his body.,2,1,1,0.3888888888888889,0.625,79.06446838378906,144.106201171875,2,2,2,1,2,1,3,4,2,2,2,1,2,1,3,2,3,5,1,1,3,3,3,5,3,5,1,3,-1,3,4,4
217,a band performing at a local bar or club.,the band is playing rock music,a modeling version at a local bar or club.,the band is playing music.,2,0,1,0.2,0.3333333333333333,50.8117561340332,157.526123046875,4,5,5,5,4,4,4,5,2,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
218,a group of people are sight seeing and taking pictures.,the group is on vacation,a number of people are officially returning and taking adventure.,[CLS] group is taken remotely,2,1,1,0.3636363636363636,1.0,225.6400451660156,159.93753051757812,3,2,4,1,3,2,4,2,4,2,4,2,3,1,4,1,4,1,5,1,3,1,5,1,3,1,5,1,4,1,4,1
219,"a little boy with a shirt, shorts and socks on, standing on the beach.",a boy is watching the ocean.,"a little boy with a shirt, shorts and socks on, singing on the chorus.",[CLS] boy is inside the car.,2,0,0,0.1176470588235294,0.7142857142857143,59.652339935302734,63.19278335571289,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,3,1,1,1,3,1,3,1,3,1,1,1,2,1,4,1
220,"five people standing on a stage, getting ready to perform, who are unrecognizable due to the lack of lighting.","at a rock concert, the audience screams and cries at the handsome singer and his bass guitarist.","the people participate in a theater, getting ready to dance, but are unrecognizable due to the lack of experience.","[CLS] a live concert, the audience screams and cheers at the famous singer and his backup guitarist.",0,0,0,0.3181818181818182,0.3684210526315789,55.321739196777344,49.04824447631836,2,4,1,2,2,4,2,2,2,3,1,3,2,3,2,4,5,1,1,1,3,1,5,1,5,3,0,1,1,1,5,3
221,a man with a cowboy hat and a gentleman with sunglasses on his head are seated next to each other.,the very differently dressed men sit next to each other,a man with a special hat and a groom with twinkle on his head are seated next to each other.,[CLS] here basic armoured men sit next to each other,0,0,1,0.1428571428571428,0.6,62.34560775756836,48.53221893310547,4,2,4,1,3,1,4,2,4,1,4,1,2,2,4,1,5,1,5,1,5,1,5,3,5,2,5,1,5,1,5,3
222,expert snowboard is trying a new trick.,the person is snowboarding on top of a mountain.,factory snowboard : irwin a new person.,[CLS] snow is snowboarding on top of a whale.,2,0,0,0.5,0.5,115.3471450805664,146.3696746826172,2,2,1,1,2,1,2,1,2,2,2,1,1,2,2,1,5,1,1,1,3,1,5,1,4,1,3,1,4,1,3,1
223,a woman lowering ballast on a boat.,the captain of the boat is preparing for rough waters.,a person still remains in a pool.,[CLS] trunk of the boat is searching for boiling waters.,2,0,0,0.625,0.5454545454545454,239.98126220703125,98.1167221069336,4,2,2,1,2,1,3,1,4,2,2,1,2,2,3,1,5,1,1,1,3,1,3,1,5,1,2,1,3,1,5,1
224,a small child is riding in a red wagon.,a kid is in a wagon and someone is pulling it.,a young host is rowing in a red kicker.,a human is in a dwelling and human is being it.,2,0,1,0.4,0.3333333333333333,93.8047866821289,117.566650390625,3,2,4,1,3,1,2,2,4,2,4,1,4,1,2,2,5,3,1,1,3,1,3,3,5,1,1,3,2,3,3,3
225,a group of people sitting around a table eating food.,people are at a table eating christmas dinner.,a group of people are at a table selling sex.,alone are at a table eating christmas eve.,2,0,0,0.3636363636363636,0.2222222222222222,66.12828063964844,73.86766815185547,1,4,1,2,1,2,1,2,2,2,1,2,1,4,2,2,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
226,"a person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",an old lady pushing a stroller down a busy street.,"a worker dressed in a shirt with wings and a mini stick attached to it, is transporting a baby platter down the street.",an old pony rolls a stroller through a deserted street.,2,0,0,0.28,0.3636363636363636,44.59116744995117,52.181915283203125,2,2,1,1,1,2,1,2,1,3,1,2,1,1,1,2,5,5,1,1,3,1,2,1,4,5,1,1,2,1,3,1
227,"a woman wearing an elaborate array of feathers in her hair, a bead necklace, a medallion, and an aqua, brown, and olive - green dress and looks off to her left, smiling slightly.",a woman smiles at someone to her left,"a woman wearing an elaborate array of armour in her hair, a deviced necklace, a necklace, and an additional, green, and gold - type dress and tender off to her left, cheerfully mouthed.",[CLS] woman merely in cognition to her left,2,1,1,0.25,0.75,93.31298065185548,123.6028823852539,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,1,5,1,5,1,5,1,5,3,5,1,5,1,5,1,5,3
228,"a man wearing a checkered shirt, cream suit and tennis shoes sits on a bench.",the guy is on the bench waiting for his wife,"a man wearing a whiteered jacket, defend various andcturing shoes sitting on the bench.",[CLS] krishna is on the floor waiting for his wife,2,0,0,0.4705882352941176,0.5,37.82266616821289,169.04293823242188,2,1,2,1,1,1,2,1,2,2,2,1,1,1,2,1,5,1,5,1,3,1,5,1,5,1,5,1,4,1,5,1
229,two cars are being driven in a car race.,a bugatti and a lambourgini compete in a road race.,two dolphins are also used in a rubber race.,cuckoo bugatti'bears lambouryani compete in a sprint race.,2,0,0,0.4,0.5454545454545454,292.7928161621094,192.57472229003903,2,2,1,1,2,2,1,2,4,2,1,1,2,2,2,2,5,5,0,5,1,5,3,5,5,5,1,5,1,4,5,5
230,a crowd walks about a square at night with smoke or fog drifting over them.,a group of people walk through tear gas.,a camera hangs around a building at night with clouds and fog swirl over them.,[CLS] group of people walk in tear gas.,0,0,0,0.4375,0.4444444444444444,125.636474609375,84.48516082763672,2,2,2,2,1,1,2,2,3,2,2,2,2,2,2,1,5,1,1,1,3,1,3,2,5,1,1,0,1,1,2,1
231,"a lady is helping another woman work in a silver compartment, which is most likely related to nurse - work.",two woman are trying to finish orders from a doctor,"a number is ensuring another woman engaged in a regardologists, which is most likely related to another supervising doctor.",two individuals are permitted to take or. a lady,2,1,1,0.3636363636363636,0.6,166.172607421875,271.4854431152344,2,2,1,2,1,1,1,2,2,2,1,5,1,1,2,2,3,3,3,3,3,2,4,5,4,4,4,2,3,3,4,5
232,batter hits a baseball,a man in a baseball game hits a foul ball.,homernington a foul,[CLS] batter in a baseball game consuming a moving ball.,2,1,1,0.75,0.5454545454545454,408.9858093261719,448.969970703125,2,2,5,2,2,2,4,2,2,2,4,2,3,1,4,2,5,5,5,5,5,5,5,5,5,5,5,3,5,-1,5,5
233,a group of children in african clothing.,some humans in green clothing,a group of ducks in african ideals.,@ everyone in green uniforms,2,1,0,0.25,0.6,546.7615356445312,434.9417114257813,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,2,3,3,1,1,1,1,4,1,1,3,3,1,2,2,4,2
234,in this picture it appears that a man is falling off a bull while attempting to ride the animal.,the man is a farmer,in this chapter it starts that a man is hired into a farmer while tending to walk the land.,[CLS] man was wearing animals,2,1,1,0.4,1.2,102.80362701416016,111.6899642944336,4,2,5,2,2,1,2,2,2,2,5,2,2,1,2,2,5,1,5,0,5,1,5,3,5,1,5,1,5,1,5,2
235,"a woman is sitting outside at a table, using a knife to cut into a sandwich.",a woman is sitting outside waiting for her friend.,"a woman is tied up at a table, using a mirror to cut out a corpse.",[CLS] woman is sitting alone waiting for her bible.,2,0,0,0.2777777777777778,0.5,62.65421295166016,65.67567443847656,1,2,1,1,1,1,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,a group of children playing with props,the children are playing with machine guns.,a cartoon of children playing with animals,[CLS] children are playing with unarmed cries.,2,0,0,0.2857142857142857,0.625,178.86105346679688,67.42566680908203,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,3,1,1,-1,1,1,1,1,4
237,an old man in a pink polo looks through a telescope with a small child standing next to him while others stand with their telescopes in the background.,an ugly old man in a pink polo looks through a telescope with a small child standing next to him,an old man in a pink polo flash through a painting with a small girl standing next to him and moving in with their twinkle in the background.,an actual old woman in a pink polo looks through a telescope with a small child standing next to him,2,0,0,0.2413793103448276,0.1,14.26637077331543,31.737199783325195,2,2,2,2,2,2,2,4,2,3,3,2,2,1,2,2,5,5,1,5,1,5,4,5,5,5,1,4,1,4,4,5
238,a woman in a blue apron is holding a container of ice cream.,a woman is standing in a kitchen.,a man in a pub onstage is holding a pot of ice cream.,[CLS] woman is shown in a colour.,2,0,1,0.2857142857142857,0.625,92.82991027832033,51.96076202392578,2,2,1,1,1,1,1,4,2,1,1,2,1,1,1,4,5,5,1,5,1,5,1,5,5,5,1,5,2,4,3,5
239,"a woman is sitting in a chair, while a man is going through the sport utility vehicle.",a girl is sitting waiting to leave for vacation,"a man is sitting in a chair, while a woman is going through the proper process field.",[CLS] kitten is sitting ready to watch for fairies,2,0,0,0.2631578947368421,0.7777777777777778,114.52801513671876,67.14431762695312,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,3,1,1,0,3,1,4,1,3,1,1,0,3,1,3,1
240,a black and white picture of a city street with a food vendor in the foreground.,the food vendor is selling hot dogs.,= black and white cartoon of a city street with a balloon maker in the foreground.,the motorway worker is making spit dogs.,2,0,0,0.2352941176470588,0.5,101.52906799316406,112.25405883789062,4,2,4,2,4,2,4,3,4,2,4,2,3,3,4,3,5,5,5,3,5,3,5,4,5,4,5,3,5,4,5,4
241,"a group walking in the middle of a walkway with a green divider, and a woman is walking by herself off to the right.",the group is taking a tour.,"the group dies in the middle of a fight with a green struggler, and a woman is seen by herself, to the right.",[CLS] group is driving a motorcycle.,2,0,0,0.2307692307692307,0.7142857142857143,45.87044143676758,61.426876068115234,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,3,1,3,1,1,0,2,1,2,1
242,"a man, wearing a cap, is pushing a cart, on which large display boards are kept, on a road.",the person is stealing display boards.,"a man, wearing a dress, is holding a hat, on which large decorative panels are placed, on a table.",[CLS] man is stealing playground boards.,0,0,0,0.2916666666666667,0.7142857142857143,98.85895538330078,60.544132232666016,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,4,1,1,1,3,1,3,1,5,1,1,1,3,1,2,1
243,a group of people in front of some tan colored tents from the american parkinsons disease association.,a group shows up to an event to support research on parkinsons,a section of people in front of this tandome programs toward the national parkinsons disease fringe.,coherent group shows itself to an event to support hygiene on canines,2,1,1,0.4444444444444444,0.3333333333333333,321.5632629394531,233.7998504638672,2,2,4,2,2,2,4,2,3,2,4,2,2,2,4,2,5,1,5,1,5,1,5,3,5,2,4,1,5,1,5,4
244,two little boys are playing on stairs that have a carpet runner going down them.,two little boys are pretending they are climbing a large mountain.,"two little boys are hooked on boxes that have a drunken party going on "".",these little boys are pretending they are driving a paved bicycle.,0,0,0,0.375,0.3333333333333333,79.32711791992188,136.62359619140625,2,4,1,4,2,2,2,4,1,4,1,4,1,4,2,4,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,5
245,a man in a green shirt is getting his feet wet in front of a wall showing a closeup picture of a face.,the man is waiting for his friend to come meet up with him.,a man in a blue shirt is unharmed the real accountable in front of a microphone resembling a closeup picture of a gun.,the man is waiting for his son to come into venus with him.,2,0,0,0.3333333333333333,0.2142857142857142,39.6066780090332,57.05465316772461,2,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,3,3,1,1,2,3,3,3,2,5,1,2,1,3,3,3
246,a man wearing black pants and a helmet is riding a brown horse.,a man is practicing for a horse race.,a woman wearing red dress and a butterfly is for a white horse.,[CLS] man is possible for a horse rider.,2,0,1,0.4285714285714285,0.5555555555555556,94.43093872070312,81.56086730957031,2,4,2,5,2,2,1,4,2,2,2,2,2,4,1,4,1,5,1,5,1,5,1,5,2,5,1,5,2,5,1,5
247,a girl in black pants doing exercises.,a girl trying to get fit for a bodybuilding competition.,a clown in the culture at school.,a girl trying to get revenge for a body proof payment.,2,0,0,0.625,0.3636363636363636,145.59915161132812,85.344482421875,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2,1,5,1,1,1,1,1,5,1,5,1,1,1,1,1,4,1
248,an asian wearing a pastel print shirt and sunhat pushing his cart up the street.,an asian man is selling food.,he idol sporting a pastel red shirt and tie pantry bring his nagoya up the street.,every asian man is a steak.,2,1,0,0.5,0.4285714285714285,181.7751007080078,260.6281433105469,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,3,1,1,0,3,1,3,1,3,0,5,1,5,1,4,1
249,a woman in a brown dress looking at papers in front of a class.,a woman checking papers is a teacher.,a woman in a red dress looks at thinking in front of a microphone.,[CLS] woman washing herself is a teacher.,2,0,0,0.2666666666666666,0.625,89.90208435058594,68.91539764404297,4,2,2,1,2,1,2,1,2,2,2,1,3,1,2,1,5,1,3,1,5,1,5,1,5,1,1,1,3,1,5,1
250,woman adjusting her eyeglasses.,woman adjusting her eyeglasses after reading.,the archer and telescope wases.,[CLS] mr her eyeglasses all hq.,2,0,0,1.0,0.8571428571428571,116.42674255371094,379.2867431640625,2,1,2,2,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,3,5,1,1,1,1,1,3,3,4
251,a four piece band plays a song on a medium - size stage.,the band is playing punk rock music.,"a great classical band plays a harp on a portable, theatrical stage.",[CLS] band is literally generic in music.,2,0,0,0.4285714285714285,0.75,247.68679809570312,83.11293029785156,2,2,1,2,1,2,1,2,2,3,1,2,1,2,1,2,3,5,1,2,1,3,2,5,1,5,-1,4,1,5,2,4
252,a young boy in red leaping into sand at a playground.,a young boy jumps onto his friends sand castle at a playground.,a mature boy in a looks into grass at a park.,[CLS] young boy jumps onto his airship and zombies at a playground.,2,0,0,0.4166666666666667,0.4615384615384615,115.90362548828124,130.8848876953125,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,5,1,1,1,3,1,5,1,5,1,1,1,3,-1,5,1
253,a man and a woman cutting dough.,a husband and wife making pizza.,a man and a woman telling laundry.,[CLS] husband and wife with ink.,2,0,0,0.25,0.7142857142857143,176.26608276367188,115.21379089355467,2,1,2,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,4,1,3,1,1,1,1,1,4,2
254,a man in green pants and blue shirt pushing a cart.,an old man pushing a cart.,a grandfather in bearded pants and white shoes pushing a cart.,##factory creature man appliances a cart.,2,1,1,0.3333333333333333,0.7142857142857143,339.4642639160156,84.79863739013672,4,2,5,1,4,1,5,1,4,1,5,1,4,2,4,1,5,3,5,3,5,3,5,4,5,2,-1,1,4,3,5,3
255,"in an apparent classroom setting, a young man in a blue t - shirt has a book on his knee while a woman dressed in black next to him leans in to point out something in the book.",the man and woman are cooperating.,"in an apparent cafe setting, a black man in a white t4 sunglasses has a vision on his head while a man dressed in black next to him leans down to find out something in the back.",the man and bears are cooperating.,0,0,0,0.3,0.1428571428571428,58.16492462158203,54.95040893554688,4,4,3,5,3,4,3,5,4,4,4,5,3,4,3,5,4,5,1,5,3,5,3,5,3,5,2,5,3,3,3,5
256,dog running with a purple toy in the snowy field.,a dog is excited.,dog throughout with a hurry fear in a snowy field.,[CLS] dog in nature.,2,0,1,0.3636363636363636,1.0,231.4081115722656,723.898681640625,2,3,1,4,2,3,2,3,2,4,1,1,1,2,2,4,3,5,3,5,3,5,5,5,5,5,3,5,3,5,5,5
257,a young ladies squatting at hillside sipping on a drink the other one with the white purse is talking pictures.,a group of hikers pause for a break.,"a young woman squatting and being piled on a wall the other side with a white towel and bleeding "".",[CLS] party of smokers dressed for a meal.,2,0,0,0.5238095238095238,0.7777777777777778,263.171875,144.15884399414062,2,2,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
258,two people are participating in the sport fencing.,two people competing in a fencing tournament,two people are deciding in the wimbledon fencing.,[CLS] people dressed in a fencing device,2,1,1,0.2222222222222222,0.7142857142857143,415.0029296875,168.43833923339844,4,2,5,5,4,3,4,4,5,2,5,5,3,1,3,4,5,5,5,5,5,3,5,5,5,3,5,5,5,4,5,5
259,a man in a pinstriped suit walks down the street and doesn't notice the quirky poster on his left.,the man who just purchased a pinstriped suit for a formal dinner didn't notice the poster to his left that shows a man wearing the same suit.,a man in a bikini quilted mirror walks down the street and posts people't notice the plastic lesbian socks on his head.,earthly man who had worn a pinstriped suit for a garment difference didn't contain the top to his left that indicated a man wearing the same suit.,2,0,1,0.4285714285714285,0.2758620689655172,54.64834213256836,79.97853088378906,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,4,4,1,1,3,3,1,5,4,3,1,3,3,1,1,4
260,a man talking into a microphone with a woman standing next to him.,the woman is sitting in the chair next to the podium.,a man standing in a car and a woman standing next to him.,[CLS] woman is sitting in a chair next to the chair.,0,0,0,0.2857142857142857,0.4166666666666667,30.286880493164062,18.623722076416016,2,2,1,2,1,1,2,1,2,2,1,2,2,1,2,2,3,1,1,1,3,0,3,2,3,1,1,1,3,0,4,2
261,two brown and white dogs running on a grassy but brown fenced yard.,"the dogs wanted to find the end of the fence, but it seemed to keep on going, always turning into yet another stretch of distance.",twohis and three dogs finished on a strong and sturdy fenced correctly.,"[CLS] walkers try to sit the end of the fence, since it tries to keep on going, instead turning into a mystical cloak of light.",2,0,0,0.5714285714285714,0.4642857142857143,102.25892639160156,108.19773864746094,2,1,2,1,2,1,2,1,3,2,2,1,2,1,1,2,5,1,1,0,3,1,4,1,4,1,0,1,5,1,5,1
262,a small dog runs to catch a ball.,the dog is a chihuahua.,a small hare runs to catch a ball.,the bear is a feather.,2,0,0,0.1111111111111111,0.3333333333333333,135.14202880859375,54.960575103759766,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,3,1,3,1,5,1,0,1,2,1,3,1
263,a police person is on a motorcycle on the side of a street.,a policewoman is sitting on the motorcycle behind the parked car.,a boxing door is on a camera on the side of the street.,[CLS] policewoman is seated on the porch behind the parked car.,2,0,0,0.2857142857142857,0.4166666666666667,49.861602783203125,42.23639678955078,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,4,1,1,1,3,1,3,1,4,1,0,1,3,1,3,1
264,there is a woman in a white tank top and camouflage pants with a big black belt on a stage holding a microphone.,a woman is getting ready to perform a song for the audience.,there is a woman in a white leather top and flaming pants with a long black belt on a jennings inviting a telecast.,[CLS] woman is relatively ready to sustain a behaviour for the occasion.,2,1,1,0.25,0.5384615384615384,83.18533325195312,76.88702392578125,2,2,2,2,2,2,2,4,2,2,2,2,2,3,1,4,5,1,5,1,3,1,5,3,5,1,5,3,4,1,5,4
265,two gondola operators sit along a road in italy.,the gondola operators are taking a work break.,= gondola stunts escaping along a train in italy.,[CLS] gondola operators are taking a robot break.,2,0,0,0.4,0.4444444444444444,164.37860107421875,264.22393798828125,2,2,2,2,2,2,2,4,4,2,1,2,2,2,2,3,5,1,3,1,3,3,5,5,5,1,5,1,3,2,5,3
266,"a middle - aged woman with red - hair, a white shirt, and a silver beaded necklace is holding a yellow cellphone against her ear while talking.",she was calling her husband on her cellphone.,"a silver new fiancee woman with red blonde hair, a white shirt, and a white beaded necklace is inter a yellow cellphone over her bodyguard while ionic.",ship was above her father on her cell phone.,2,1,0,0.3,0.5555555555555556,103.10676574707033,147.37754821777344,1,2,1,2,1,2,2,2,2,2,1,2,1,2,1,2,4,4,5,1,3,3,4,3,4,4,2,1,3,4,3,3
267,a dog jumps over the pole.,"dog is participating in a competition, showing his agility training.",a fish jumps over the pole.,"vishnu is participating in a competition, introducing his agility abilities.",2,0,0,0.1428571428571428,0.25,173.43032836914062,121.48912048339844,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,3,1,5,1,3,1,3,1,5,1,5,1,1,1,2,3,4
268,a boy posing on the soccer field.,the boy is on a soccer team.,a boy idol on the football team.,[CLS] boy is on a soccer surface.,2,0,1,0.375,0.5,118.3727569580078,73.5237808227539,2,4,4,5,2,4,2,4,3,3,4,5,1,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
269,a woman in a red jacket walks down the street in the rain.,woman walks down street on sunny day,a girl in a yellow dress walks down the street in the city.,intentional walks down the on election day,0,2,2,0.2857142857142857,0.4285714285714285,112.97080993652344,48.34250259399414,4,2,5,1,4,1,4,1,4,1,5,1,4,2,4,1,5,1,5,0,5,1,5,1,5,1,5,1,5,1,5,1
270,men wearing blue uniforms sit on a bus.,men drive the bus into the ocean.,men wearing blue uniforms drive on a jp.,of accompany the bus from the stadium.,0,2,2,0.2222222222222222,0.5,160.20782470703125,291.5898742675781,2,2,1,2,1,2,1,2,1,3,2,2,1,3,1,2,3,3,1,1,1,2,1,3,3,1,1,1,5,2,1,3
271,a man in a suit cheering in a library in front of children.,a boy is attending a club meeting.,a man in a suit lived in a buzzing in front of youth.,[CLS] chang is enjoying a new event.,0,2,2,0.2142857142857142,0.875,176.75904846191406,145.77151489257812,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,2,3,3,1,1,1,1,3,3,5,4,1,3,1,2,3,3
272,an old man holds up a sign.,a man is sleeping.,an old man sleeps in a box.,[CLS] man is heard.,0,1,2,0.375,0.8,123.34829711914062,50.41683197021485,4,2,4,1,3,1,2,2,3,1,4,1,2,1,2,2,5,1,5,1,5,1,5,3,5,1,5,1,5,0,5,2
273,a passenger wearing a life jacket prepares to take a picture of a whale very close to the boat.,a man is taking a picture of a goldfish.,a camera using a life jacket manages to take a picture of a prey very close to the shore.,[CLS] passenger is taking a picture of a baltic evening.,0,2,2,0.25,0.6,65.31318664550781,47.27447128295898,2,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,3,1,3,1,3,1,3,1,3,1,3,1,1,1,5,1
274,the man walks among the large trees.,the mas is walking next to dogs.,the mediterranean describes in the large walk.,[CLS] glad is walking next to meadow.,2,2,2,0.5,0.625,211.2416076660156,662.9517211914062,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,-1,1,1,1,2,1
275,several adults look on while a young girl plays in a ball pit.,a young girl is sitting in her chair.,the photographs hang on while a young girl awake in a different setting.,[CLS] mysterious girl is played in her vicinity.,0,2,1,0.4285714285714285,0.6666666666666666,104.2983856201172,93.88260650634766,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,1,4,3,5,3,5,2,4,1,5,1,4,3,5
276,"a blond woman with a tattoo of on an angel on her arm walking down the street, a concrete wall in the background.",nobody has a tattoo,a funeral woman with a vision of a an angel on her feet mourning down the street. a naked wall in the ground.,[unused535] has a tattoo,0,2,1,0.32,0.75,68.64410400390625,171.468505859375,1,4,1,4,1,3,1,4,1,4,1,4,1,3,1,4,3,5,1,5,1,5,3,5,1,5,0,5,1,5,3,5
277,a four piece band plays a song on a medium - size stage.,a three piece band plays a song on a medium - size stage.,[SEP] purple leaf < plays a song on a medium titled something stage.,[CLS] instrumental piece band plays a song on a medium - size stage.,0,2,2,0.5714285714285714,0.2857142857142857,54.793678283691406,246.0417633056641,2,4,2,5,2,4,2,5,2,5,2,5,2,3,2,5,1,5,1,5,1,5,1,5,2,5,1,5,1,5,1,5
278,an elderly woman with a tan nun uniform on and glasses is taking a picture with her camera.,a woman is in a green nun uniform,an elderly woman with a reverse nun uniform on her inside is taking a picture with her face.,[CLS] woman is in a lovely nursing asylum,0,2,2,0.2105263157894736,0.75,166.0115966796875,114.10370635986328,2,2,1,2,1,2,1,2,2,2,1,1,1,2,1,2,5,1,1,0,3,1,5,1,3,3,5,1,1,1,3,2
279,"a juggler wearing a plaid kilt and a green shirt, juggling.",a person rides a bike down a hill wearing pants.,"a rubber man wearing a black ziplt and a pink shirt, wander workout.",a location makes a gig at a bun wearing shirts.,0,2,2,0.5384615384615384,0.5454545454545454,272.10028076171875,182.5318145751953,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2,5,3,1,1,3,1,5,3,4,2,1,0,3,1,5,3
280,a red dog jumps and catches a tennis ball in its mouth.,a man eating popcorn,a male rack sitting and licking a mu ball in his mouth.,[CLS] dog has something,0,0,1,0.4615384615384615,1.5,143.04080200195312,395.8053894042969,1,4,1,5,1,4,1,4,2,5,1,5,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
281,a woman cook in an apron is smiling at the camera with two other cooks in the background.,a woman not paying attention to the camera,a woman absent in the scene is stares at the camera with the other smiles in the background.,[CLS] woman not running backwards to the camera,0,1,1,0.3157894736842105,0.625,120.0300521850586,74.57975769042969,2,4,2,1,2,2,2,1,2,1,2,2,2,3,2,4,5,5,1,5,3,5,4,5,5,5,4,5,5,5,4,5
282,"two men holding a chinese lantern that's yellow and red, one man has a drill and the other is smiling.",a man and his daughter build a doghouse while the dog sits behind them.,"insable in a door frame that's chained and fluffy, one foot has a pen and the other is smiling.",a completion whispers his brother constructing a lantern tent while the sun stands behind them.,0,2,2,0.391304347826087,0.5333333333333333,165.3270263671875,114.03028869628906,2,2,1,2,1,2,1,2,1,2,1,2,2,2,1,3,1,3,1,1,1,3,3,3,1,3,0,0,-1,3,3,3
283,a man with a beard is playing an acoustic guitar on the street.,a woman flashes bystanders.,a girl with a lens is playing an electric guitar in the skies.,nightly is marsden bystanders.,0,2,2,0.3571428571428571,0.6,188.0860137939453,195.3197021484375,1,2,1,2,1,2,1,4,2,2,1,2,1,1,1,2,1,5,1,3,1,3,1,5,1,5,1,4,1,5,1,3
